"Sharon","dffg@gm.com","0"
"Harry","dffg@gm.com","0"
"Elizabeth","draco@slytherin.com","3"
"","","3"
"Harry","Harry@hogwarts.com","0"
"Harry","Harry@hogwarts.com","1"
"Hedwig","Harry@hogwarts.com","1"
"greg","dffg@gm.com","0"
"greg","dffg@gm.com","1"
"greg","dffg@gm.com","2"
"greg","dffg@gm.com","2"
"Sharon","draco@slytherin.com","2"
"Sharon","Potterhead@owlmail.com","3"
"Elizabeth","draco@slytherin.com","4"
"He Who Must Not Be Named","#lol@riddle.com","0"
"greg","dffg@gm.com","0"
"Sharon","dffg@gm.com","3"
"Hedwig","Potterhead@owlmail.com","2"
"b","b@gmail.com","1"
"Draco","draco@slytherin.com","4"
"Harry","Harry@hogwarts.com","8"
"Sharon","Harry@hogwarts.com","10"
"greg","dffg@gm.com","2"
"Name It","nameit@nothing.com","6"
"Elizabeth","draco@slytherin.com","7"
"Dobby","dobbydied@ggg.fgff","1"
"Sharon","Harry@hogwarts.com","8"
"Elizabeth","draco@slytherin.com","5"
"greg","dffg@gm.com","3"
"Elizabeth","draco@slytherin.com","4"
"Hagrid","hagrid@noemail.co.uk","-2"
"Sharon","dffg@gm.com","105"
"Elizabeth","dffg@gm.com","105"
"Sharon","dffg@gm.com","354"
"Harry","Harry@hogwarts.com","6"
"Dd","dffg@gm.com","1"
"Hedwig","Harry@hogwarts.com","12"
"Sharon","draco@slytherin.com","18"
"Severus","evil@goodguy.co.uk","7"
"Snape","Afterallthistime@always.com","9"
